center_row_px,sin_coefficient_px,cos_coefficient_px,amplitude_px,phase_deg,support_fraction,valid_fraction,sectors,max_gap_fraction,rmse_px,quality_score,support_excess,longest_chain_fraction,review_flag,feature_type,evidence_kind,candidate_id,borehole,channel,annotated_input,calibration_status,geographic_orientation_status,depth_m,amplitude_m,borehole_relative_dip_deg,true_dip_deg,true_dip_azimuth_deg
1787.8885700609692,-0.03342187912122869,-0.3064114082780867,0.3082287675200911,,0.5081081081081081,1.0,6,0.15675675675675677,0.634741100930646,0.2680310565777397,0.38648648648648654,0.2756756756756757,near_horizontal_check_acquisition_artifact,unclassified_planar_candidate,bright_ridge,1,BH03,optical,False,provisional_report_ticks,unknown,3.4638877502177468,0.0011008170268574679,,,
2235.7540008408505,0.9798774019189422,-0.339577442771905,1.0370499324675369,340.886192744974,0.8540540540540541,1.0,8,0.032432432432432434,0.8555760464766559,0.6213114290002217,0.6594594594594595,0.43243243243243246,near_horizontal_check_acquisition_artifact,unclassified_planar_candidate,bright_ridge,2,BH03,optical,False,provisional_report_ticks,unknown,5.063407145860179,0.0037037497588126305,,,
2242.940227976628,6.90556668606614,-4.384366881399139,8.179824216107344,327.58840240757775,0.6378378378378379,1.0,7,0.22162162162162163,1.3105112304841693,0.284352617462942,0.44324324324324327,0.2972972972972973,,unclassified_planar_candidate,bright_ridge,3,BH03,optical,False,provisional_report_ticks,unknown,5.089072242773671,0.029213657914669077,,,
2313.216623713999,13.347350634936495,15.106148230513227,20.158062489589064,48.537126613080744,0.6270270270270271,1.0,8,0.07027027027027027,0.9527560057415081,0.42434336961803737,0.5337837837837838,0.31351351351351353,,unclassified_planar_candidate,dark_ridge,4,BH03,optical,False,provisional_report_ticks,unknown,5.340059370407138,0.07199308031996092,,,
2328.937263391528,5.925793918618558,0.3333172166169152,5.935160817773174,3.2194111267269094,0.5513513513513514,1.0,6,0.2,1.0335861638537287,0.3040831003304003,0.4864864864864865,0.42162162162162165,,unclassified_planar_candidate,dark_ridge,5,BH03,optical,False,provisional_report_ticks,unknown,5.3962045121125986,0.021197002920618473,,,
2363.580499760628,3.8531409037305293,0.41739262816157024,3.8756820599792423,6.1824749908867895,0.5459459459459459,1.0,6,0.11351351351351352,1.1108899075381762,0.2763908629379263,0.4135135135135135,0.2594594594594595,,unclassified_planar_candidate,bright_ridge,6,BH03,optical,False,provisional_report_ticks,unknown,5.519930356287954,0.013841721642783005,,,
2367.0958306859434,5.2869181857999585,-7.410695948655316,9.103291621537709,305.5047147955159,0.6810810810810811,1.0,7,0.12972972972972974,0.9491829323416755,0.4319611224997602,0.5662162162162162,0.20540540540540542,,unclassified_planar_candidate,dark_ridge,7,BH03,optical,False,provisional_report_ticks,unknown,5.532485109592653,0.0325117557912061,,,
2411.623822703436,10.810802136780051,0.3884945397971404,10.817780310584068,2.058082553000817,0.5297297297297298,1.0,6,0.17297297297297298,1.2780322864146139,0.18946294635503474,0.3310810810810811,0.2810810810810811,,unclassified_planar_candidate,bright_ridge,8,BH03,optical,False,provisional_report_ticks,unknown,5.691513652512269,0.038634929680657376,,,
2431.1046341277015,-4.322056654399089,10.742632105936258,11.579478325353344,111.91628068686106,0.5891891891891892,1.0,7,0.10810810810810811,1.113541869418598,0.31453472371276797,0.43378378378378374,0.31351351351351353,,unclassified_planar_candidate,dark_ridge,9,BH03,optical,False,provisional_report_ticks,unknown,5.761087979027504,0.04135527973340479,,,
2433.812992095094,10.881307173353958,9.72667232884604,14.594896381736445,41.79315440371088,0.5135135135135135,1.0,6,0.15675675675675677,1.197316465255251,0.19237108559420282,0.33108108108108103,0.20540540540540542,,unclassified_planar_candidate,dark_ridge,10,BH03,optical,False,provisional_report_ticks,unknown,5.770760686053906,0.05212462993477301,,,
